activity_band,value_band,buyer_count,award_count,allocated_value,buyer_share,award_share,value_share
1 award,<£100K,1084,1084,50773330.07,18.127090301003346,2.408300193286086,0.0112876674361389
1 award,£100K-<£1M,1230,1230,449769693.4381,20.5685618729097,2.732665348470374,0.0999905012214899
1 award,£1M-<£10M,660,660,2165638907.47,11.036789297658862,1.466308235764591,0.4814537817508311
1 award,£10M-<£100M,164,164,5000475324.27,2.74247491638796,0.3643553797960498,1.1116801361100663
1 award,£100M-<£1B,38,38,12640508272.69,0.6354515050167224,0.0844238075137188,2.810173242707855
1 award,£1B+,14,14,48854520446.0,0.2341137123745819,0.0311035080313701,10.861087480104684
2-9 awards,<£100K,154,381,7580292.27,2.5752508361204014,0.8464597542822866,0.0016852118640737
2-9 awards,£100K-<£1M,850,2828,371050528.01,14.214046822742471,6.2829086223367625,0.0824900583910163
2-9 awards,£1M-<£10M,689,2913,2307632787.88,11.521739130434783,6.471751349670081,0.5130211360650991
2-9 awards,£10M-<£100M,253,1125,7751158483.94,4.230769230769231,2.499389038235098,1.72319796812417
2-9 awards,£100M-<£1B,50,207,14540067241.78,0.8361204013377926,0.459887583035258,3.2324734914577777
2-9 awards,£1B+,16,77,119019373700.35,0.2675585284280936,0.1710692941725356,26.459779315930447
10-49 awards,<£100K,5,127,67783.24,0.0836120401337792,0.2821532514274288,1.5069223740281496e-05
10-49 awards,£100K-<£1M,42,605,29353190.91,0.7023411371237459,1.3441158827842083,0.0065256514931122
10-49 awards,£1M-<£10M,278,4994,1233311101.17,4.648829431438127,11.095065650618738,0.2741834253556436
10-49 awards,£10M-<£100M,232,5802,6730642846.856,3.879598662207358,12.890182399857814,1.4963221435741083
10-49 awards,£100M-<£1B,48,1198,11814488714.46,0.8026755852842808,2.6615716158272424,2.6265367930955854
10-49 awards,£1B+,5,102,13745863041.1,0.0836120401337792,0.2266112727999822,3.055910069651467
50-199 awards,<£100K,1,133,0.0,0.0167224080267558,0.295483326298016,0.0
50-199 awards,£100K-<£1M,1,50,458219.76,0.0167224080267558,0.1110839572548932,0.0001018690768641
50-199 awards,£1M-<£10M,17,1345,110224708.11,0.2842809364548495,2.9881584501566283,0.0245045941772156
50-199 awards,£10M-<£100M,78,6541,3647561447.229,1.3043478260869563,14.532003288085136,0.810907232447413
50-199 awards,£100M-<£1B,38,3765,11948469380.519,0.6354515050167224,8.364621981293462,2.6563226905197133
50-199 awards,£1B+,9,957,28874501070.006,0.1505016722408026,2.1261469418586567,6.419231612606861
200+ awards,<£100K,0,0,0.0,0.0,0.0,0.0
200+ awards,£100K-<£1M,0,0,0.0,0.0,0.0,0.0
200+ awards,£1M-<£10M,0,0,0.0,0.0,0.0,0.0
200+ awards,£10M-<£100M,12,4740,510214593.6201,0.2006688963210702,10.53075914776388,0.1134283027311483
200+ awards,£100M-<£1B,9,3047,3042550929.74,0.1505016722408026,6.769456355113195,0.6764043840550192
200+ awards,£1B+,3,884,154966164088.71,0.0501672240802675,1.9639643642665128,34.45128617082846
