buyer_key,long_duration_awards,long_duration_value,maximum_duration_years,buyer_name,award_count,allocated_award_value,long_duration_value_share_percent
ID:GB-CFS-279061,1,4600000000.0,15.0,Sellafield Limited,1,4600000000.0,100.0
ID:GB-CFS-326450,1,2945000000.0,15.0,Sellafield Ltd,1,2945000000.0,100.0
ID:GB-CFS-220820,1,2900000000.0,15.0,Ministry of Defence,1,2900000000.0,100.0
ID:GB-CFS-183111,4,2664771964.0,27.54,Ministry of Justice,166,6810471484.46,39.12756950940069
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/XjVA96JU,1,2000000000.0,14.0,KENT COUNTY COUNCIL,107,2062115950.02,96.9877566768543
ID:GB-CFS-311321,1,1950000000.0,21.0,Hertfordshire County Council - Growth and Environment,3,1951280816.75,99.93436020387198
ID:GB-GOR-OT529,1,1172968000.0,10.0,N H S Business Services Authority,2,1175925037.0,99.74853524612897
ID:GB-CFS-319169,1,878000000.0,10.43,Ministry of Defence,1,878000000.0,100.0
ID:GB-CFS-187357,4,706544520.0,25.0,Sheffield City Council,128,897509900.97,78.72275495082441
ID:GB-CFS-43251,4,623302182.93,32.56,HS2,8,2989412812.6,20.850321518087416
ID:GB-CFS-253339,5,446328025.0,12.79,BDUK,5,446328025.0,100.0
ID:GB-CFS-101458,1,400000000.0,10.0,Kent County Council,2,403011911.75,99.2526494472778
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/7U7AuvS7,1,320712000.0,10.0,MINISTRY OF DEFENCE,337,8331354750.11,3.8494579767566086
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Qcy76AyS,3,258414530.32,25.0,HM Government of Gibraltar,12,278068790.89,92.93187110027932
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/FdrJ277p,1,255000000.0,15.0,North Northamptonshire Council,121,485629162.47,52.50920243401831
ID:GB-CFS-189214,1,245680004.75,10.48,Ministry of Justice,5,497808805.84,49.35228181338432
ID:GB-CFS-306151,1,245434247.0,10.0,Ministry of Defence,1,245434247.0,100.0
ID:GB-LAE-WNM,1,200000000.0,15.0,The Royal Borough of Windsor and Maidenhead Council,10,244260085.0,81.87993547942965
ID:GB-CFS-307106,1,189515306.04,15.56,HS2,1,189515306.04,100.0
ID:GB-CFS-186339,1,163000000.0,10.0,Ministry of Justice,23,271348258.88,60.07040571138674
ID:GB-GOR-D25,3,154695000.0,12.0,H M REVENUE & CUSTOMS,179,3443872396.59,4.4918911674304045
ID:GB-CFS-150888,1,120000000.0,15.0,Hull City Council,1,120000000.0,100.0
ID:GB-CFS-107313,2,118567000.0,15.0,Luton Council,87,358091749.76,33.110787969693774
ID:GB-CFS-319930,1,102793217.0,10.0,Ministry of Defence,2,168374713.0,61.05027006044548
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/3A4AmUm4,2,100546846.89,18.0,Cabinet Office,114,212050596.71,47.41644138238747
ID:GB-CFS-313857,1,100000000.0,10.0,North East Lincolnshire Borough Council,5,100598110.0,99.40544608641255
ID:GB-CFS-171998,1,95000000.0,15.0,Oxfordshire County Council,10,114554451.1,82.92999450285001
ID:GB-CFS-281989,1,93750000.0,15.0,Echelon Consultancy Ltd,1,93750000.0,100.0
ID:GB-CFS-307625,1,92566020.0,10.0,NHS London Procurement Partnership (Hosted by Guy's and St Thomas' NHS FT),1,92566020.0,100.0
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/QrBy247r,1,75000000.0,10.0,THE EDUCATION ALLIANCE,1,75000000.0,100.0
ID:GB-CFS-213835,1,64231706.0,15.0,Bournemouth Christchurch and Poole Council,17,79611289.8,80.68165477705902
ID:GB-CFS-311382,2,60000000.0,10.0,Ministry of Defence,2,60000000.0,100.0
ID:GB-CFS-307634,1,55395000.0,10.0,NHS London Procurement Partnership (Hosted by Guy's and St Thomas' NHS FT),1,55395000.0,100.0
ID:GB-CFS-107820,1,54843447.0,10.0,Bristol City Council,29,136620289.72,40.14297372110711
ID:GB-CFS-320250,1,53095000.0,10.0,United Lincolnshire Teaching Hospitals NHS Trust,1,53095000.0,100.0
ID:GB-CFS-50290,1,48000000.0,10.0,London Borough of Hackney,36,122144010.97,39.29787438517093
ID:GB-CFS-325207,1,44000000.0,10.0,Nuclear Waste Services,1,44000000.0,100.0
ID:GB-CFS-257613,5,41750000.0,76.0,City of Doncaster Council,151,164026179.14,25.453253998171505
ID:GB-CFS-273198,1,32412102.74,10.0,DESNZ,52,369722222.06,8.766609309932155
ID:GB-CFS-310730,1,30983753.96,10.0,North Cumbria Integrated Care NHS FT,1,30983753.96,100.0
ID:GB-CFS-178652,1,28286352.0,10.55,The Trustees of the British Museum,1,28286352.0,100.0
ID:GB-CFS-3938,1,28113000.0,10.0,Cheshire East Borough Council,2,28288000.0,99.38136312217196
ID:GB-CFS-327488,1,27410592.0,10.0,Milton Keynes University Hospital NHS Foundation Trust,1,27410592.0,100.0
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/gAt5NMW9,1,26700000.0,10.0,Staffordshire County Council,7,38021763.43,70.22293968336334
ID:GB-CFS-324550,1,24000000.0,10.0,Ministry of Defence,1,24000000.0,100.0
ID:GB-CFS-264584,1,22482000.0,10.0,City of London Corporation,1,22482000.0,100.0
ID:GB-CFS-243643,1,20493674.0,10.0,Ministry of Defence,3,20602088.0,99.47377178468513
ID:GB-CFS-263572,1,19000000.0,15.0,United Lincolnshire Hospital NHS Trust,6,22770000.0,83.44312692138779
ID:GB-CFS-290904,4,18724413.0,10.75,Westminster City Council,62,51548487.63,36.32388429006564
ID:GB-CFS-309985,1,15275577.0,11.47,North West Fire Control,1,15275577.0,100.0
ID:GB-CFS-148108,2,14765531.39,14.0,Home Office,168,1506115307.196,0.9803719090731258
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/SjTw969a,1,14353300.0,17.0,Welland Procurement Unit,38,32217867.36,44.55074521108836
ID:GB-CFS-51066,1,14160000.0,16.0,Nottingham City Council,73,75716044.239,18.70145243629412
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/urSt89dk,2,13219005.0,10.0,South Yorkshire Police Headquarters,50,55898714.99,23.64813753297337
ID:GB-CFS-50508,3,13106138.0,20.0,Cornwall Council,16,28354094.82,46.2230872937456
ID:GB-LAE-DUR,1,10800000.0,10.0,Durham County Council,76,157289335.43,6.8663269321310265
ID:GB-CFS-283655,1,10000000.0,10.0,Wirral Borough Council,35,16481196.22,60.67520746986167
ID:GB-CFS-279401,1,10000000.0,15.0,Blackburn With Darwen Borough Council,4,12281485.0,81.42337836181862
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/axN79Bfk,1,9614325.0,10.0,West Yorkshire Combined Authority,60,59272615.05,16.220517673954056
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/R7P26Eu7,3,9452850.0,11.0,HAMPSHIRE COUNTY COUNCIL,282,6085754449.67,0.1553274960101714
ID:GB-CFS-311241,2,9298889.6,10.0,Hull University Teaching Hospitals NHS Trust,3,15898649.6,58.488549870298414
ID:GB-LAE-WAR,1,8863590.0,10.0,Warwickshire County Council,30,73944082.08,11.986882182688392
ID:GB-CFS-244021,1,8372120.0,13.0,West Sussex County Council,89,24969355.89,33.529579364732264
