buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/6sQD8uds,Crown Commercial Service,265,140549054888.93,200+ awards,£1B+,High activity / High value
ID:GB-CFS-310759,The Crescent Academy,6,90000000000.0,2-9 awards,£1B+,Lower activity / High value
ID:GB-CFS-244168,Wiltshire Council,1,21191000000.0,1 award,£1B+,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/7U7AuvS7,MINISTRY OF DEFENCE,337,8331354750.11,200+ awards,£1B+,High activity / High value
ID:GB-CFS-317938,Supply Chain Coordination Limited,31,7688782080.0,10-49 awards,£1B+,Lower activity / High value
ID:GB-CFS-183111,Ministry of Justice,166,6810471484.46,50-199 awards,£1B+,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/m6gv6TMA,N H S Shared Business Services,67,6412633290.59,50-199 awards,£1B+,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/R7P26Eu7,HAMPSHIRE COUNTY COUNCIL,282,6085754449.67,200+ awards,£1B+,High activity / High value
ID:GB-CFS-279061,Sellafield Limited,1,4600000000.0,1 award,£1B+,Lower activity / High value
ID:GB-CFS-316791,Supply Chain Coordination Limited,1,4200000000.0,1 award,£1B+,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/NGYE67fS,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,7,4115000000.0,2-9 awards,£1B+,Lower activity / High value
ID:GB-CFS-142461,Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),3,3650000000.0,2-9 awards,£1B+,Lower activity / High value
ID:GB-GOR-D25,H M REVENUE & CUSTOMS,179,3443872396.59,50-199 awards,£1B+,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/8u5J6V4e,BIP SOLUTIONS LIMITED,67,3189878775.63,50-199 awards,£1B+,High activity / High value
ID:GB-CFS-43251,HS2,8,2989412812.6,2-9 awards,£1B+,Lower activity / High value
ID:GB-CFS-326450,Sellafield Ltd,1,2945000000.0,1 award,£1B+,Lower activity / High value
ID:GB-CFS-220820,Ministry of Defence,1,2900000000.0,1 award,£1B+,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/ahmV766A,Department For Work and Pensions,9,2804916798.0,2-9 awards,£1B+,Lower activity / High value
ID:GB-CFS-57933,Peabody Trust,65,2356278016.59,50-199 awards,£1B+,High activity / High value
ID:GB-CFS-156204,NHS England,4,2153365782.0,2-9 awards,£1B+,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/XjVA96JU,KENT COUNTY COUNCIL,107,2062115950.02,50-199 awards,£1B+,High activity / High value
ID:GB-CFS-70802,PROSPER,59,2005035481.49,50-199 awards,£1B+,High activity / High value
