award_id,release_id,ocid,release_date,award_date,award_value,award_title,buyer_name,procurement_method,procurement_category,contract_start,contract_end,contract_duration_years,usable_supplier_count,supplier_names,supplier_reference_text_flag,supplier_identity_review_flag,value_points,duration_points,method_points,single_supplier_points,pri_score,pri_category,review_rationale
ocds-b5fd17-077b1385-9303-41f0-9cf2-7e36234f1677-1,0a8be01b-a771-46a6-aff9-f6cbce68b69e-847324,ocds-b5fd17-077b1385-9303-41f0-9cf2-7e36234f1677,2025-05-29 11:22:40+0000,2023-05-10 23:00:00+0000,2900000000.0,,Ministry of Defence,limited,services,2024-01-01 00:00:00+0000,2038-12-31 23:59:59+0000,15.0,1,Thales UK Limited,0,0,3,1,1,1,6,Priority review,Multiple material screening signals
ocds-b5fd17-7a1242ea-f570-4197-9827-f87a4c860a57-1,2e127d94-dc95-49a7-bf45-7fd112e9b826-867414,ocds-b5fd17-7a1242ea-f570-4197-9827-f87a4c860a57,2025-10-08 15:11:47+0000,2025-03-04 00:00:00+0000,1950000000.0,,Hertfordshire County Council - Growth and Environment,selective,services,2025-09-30 23:00:00+0000,2046-09-30 23:59:59+0000,21.0,1,Ringway Infrastructure Services Ltd,0,0,3,2,0,1,6,Priority review,Multiple material screening signals
ocds-b5fd17-2d2693a0-c9d2-4d61-8563-99c9660a6456-1,7b63ef2c-d4d2-4ae3-bc22-2c0e1bf78223-864312,ocds-b5fd17-2d2693a0-c9d2-4d61-8563-99c9660a6456,2025-09-18 12:03:47+0000,1998-07-04 23:00:00+0000,1006771964.0,,Ministry of Justice,selective,services,1998-07-05 23:00:00+0000,2026-01-19 23:59:59+0000,27.54,1,Sodexo Limited,0,0,3,2,0,1,6,Priority review,Multiple material screening signals
ocds-b5fd17-93126d46-feac-498b-a593-6d4d1a81f1ae-1,9db25e1f-ed8b-42f6-ac3f-1034e94c4d43-848908,ocds-b5fd17-93126d46-feac-498b-a593-6d4d1a81f1ae,2025-06-10 09:42:40+0000,2025-04-24 23:00:00+0000,878000000.0,,Ministry of Defence,direct,services,2025-04-24 23:00:00+0000,2035-09-30 22:59:59+0000,10.43,1,Serco Ltd,0,1,2,1,2,1,6,Priority review,Multiple material screening signals
ocds-b5fd17-cacdca39-aa8a-434c-9a81-1fd5cfa12d4c-1,8cd6b80b-3b98-45be-9eba-bd3c1531b4a6-875920,ocds-b5fd17-cacdca39-aa8a-434c-9a81-1fd5cfa12d4c,2025-12-16 15:06:53+0000,2025-11-19 00:00:00+0000,2000000000.0,,KENT COUNTY COUNCIL,selective,services,2026-04-30 23:00:00+0000,2040-04-30 23:59:59+0000,14.0,1,Ringway Infrastructure Services Limited,0,0,3,1,0,1,5,High review,Several material screening signals
ocds-b5fd17-f25cf6c9-bef9-45d4-8404-71b1fb1491f1-2,94228a6b-c4f4-442a-9a3c-8a85128f07ae-856396,ocds-b5fd17-f25cf6c9-bef9-45d4-8404-71b1fb1491f1,2025-07-28 15:16:42+0000,2010-06-28 23:00:00+0000,937000000.0,,Ministry of Justice,selective,services,2010-06-29 23:00:00+0000,2036-12-31 23:59:59+0000,26.51,1,BWP Project Services Limited,0,0,2,2,0,1,5,High review,Several material screening signals
ocds-b5fd17-40d413a3-3580-4108-b69a-5be07e2c5828-1,8f1a06f1-b7b5-41e5-a346-93cc3e855f9a-828294,ocds-b5fd17-40d413a3-3580-4108-b69a-5be07e2c5828,2025-02-20 06:28:14+0000,2025-01-20 00:00:00+0000,328237076.84,,HS2,selective,works,2025-02-03 00:00:00+0000,2049-08-26 23:59:59+0000,24.56,1,Siemens Mobility Costain JV,0,0,2,2,0,1,5,High review,Several material screening signals
ocds-b5fd17-b5a6e53b-84c7-4323-a387-0b2c8b961f48-1,25be4f69-1fdf-4184-8eaf-8f8fbf9e4fb8-821194,ocds-b5fd17-b5a6e53b-84c7-4323-a387-0b2c8b961f48,2025-01-30 10:20:10+0000,2026-03-31 23:00:00+0000,320712000.0,,MINISTRY OF DEFENCE,limited,services,2026-03-31 23:00:00+0000,2036-03-31 22:59:59+0000,10.0,1,BFBS,0,0,2,1,1,1,5,High review,Several material screening signals
ocds-b5fd17-e766589c-dd17-4447-aa97-9f5d20a49bbb-1,d8734fb8-0173-42bc-b3ee-52ce83f153a2-833139,ocds-b5fd17-e766589c-dd17-4447-aa97-9f5d20a49bbb,2025-03-12 08:40:30+0000,2024-02-15 00:00:00+0000,310000000.0,,Sheffield City Council,selective,services,2025-01-02 00:00:00+0000,2050-01-01 23:59:59+0000,25.0,1,SMG UK Ltd t/a ASM Global,0,0,2,2,0,1,5,High review,Several material screening signals
ocds-b5fd17-30e754bc-1512-4f04-9a3c-6f04d6ee03e9-1,efefe55e-d86c-460f-ad4e-2c1ab007424b-851879,ocds-b5fd17-30e754bc-1512-4f04-9a3c-6f04d6ee03e9,2025-06-30 10:15:24+0000,2025-06-29 23:00:00+0000,250000000.0,,HM Government of Gibraltar,open,services,2025-07-10 23:00:00+0000,2050-07-10 23:59:59+0000,25.0,1,Eco-Waters Ltd,0,0,2,2,0,1,5,High review,Several material screening signals
ocds-b5fd17-c7a5682d-3308-47d5-8e3a-8e04fa1e67ba-1,f3336ed8-6197-45bc-a12e-092088d4e30c-815897,ocds-b5fd17-c7a5682d-3308-47d5-8e3a-8e04fa1e67ba,2025-01-09 15:29:32+0000,2024-12-17 00:00:00+0000,245434247.0,,Ministry of Defence,direct,services,2025-01-01 00:00:00+0000,2034-12-31 23:59:59+0000,10.0,1,Thales UK Ltd,0,0,2,0,2,1,5,High review,Several material screening signals
ocds-b5fd17-d15f8c53-f398-49cc-a713-bba562b29080-1,b95ea6c5-b800-4cbe-877d-2802894989b4-818759,ocds-b5fd17-d15f8c53-f398-49cc-a713-bba562b29080,2025-01-20 17:37:17+0000,2024-11-20 00:00:00+0000,179430310.53,,HS2,selective,works,2025-02-03 00:00:00+0000,2056-09-23 23:59:59+0000,31.64,1,Siemens Mobility Limited,0,0,2,2,0,1,5,High review,Several material screening signals
ocds-b5fd17-451147af-b425-486e-bb5d-ab507cc858b2-1,03018de6-27bc-4d8f-8425-229825e4eeec-851712,ocds-b5fd17-451147af-b425-486e-bb5d-ab507cc858b2,2025-06-27 09:22:31+0000,2025-06-05 23:00:00+0000,125000000.0,,Ministry of Defence,direct,goods,2025-06-05 23:00:00+0000,2027-06-05 22:59:59+0000,2.0,1,Cook Defence Systems,0,0,2,0,2,1,5,High review,Several material screening signals
