supplier_key,canonical_supplier_name,allocated_award_value,award_count,buyer_count,supplier_id_count,supplier_identity_flags,identity_review_flags,supplier_rank,value_share,cumulative_value_share,value_band
SUP_ID:GB-COH-11173369,BSN Group Construction,36000386000.0,3,3,1,id_multiple_names_review,review_name_variation,1,0.1143408689847488,0.1143408689847488,£1B+
SUP_ID:GB-CFS-316201,MJ Church (Plant) Ltd,21191000000.0,1,1,1,confirmed_id,no_name_conflict,2,0.0673047604171747,0.1816456294019236,£1B+
SUP_ID:GB-COH-08854191,SEE SERVICES LTD,18010530347.90667,3,3,1,id_multiple_names_review,review_name_variation,3,0.0572032669554109,0.2388488963573346,£1B+
SUP_ID:GB-COH-05382100,Carson Powell Construction Ltd,18000000000.0,1,1,1,confirmed_id,no_name_conflict,4,0.0571698215048438,0.2960187178621785,£1B+
SUP_ID:GB-COH-08970458,RenEnergy Ltd,18000000000.0,1,1,1,confirmed_id,no_name_conflict,5,0.0571698215048438,0.3531885393670223,£1B+
SUP_ID:GB-COH-SC037270,GXO,4200000000.0,1,1,1,confirmed_id,no_name_conflict,6,0.0133396250177969,0.3665281643848192,£1B+
SUP_ID:GB-COH-04544886,RADIOCOMS SYSTEMS LIMITED,4116649631.28,10,10,1,confirmed_id,no_name_conflict,7,0.0130748958121254,0.3796030601969447,£1B+
SUP_ID:GB-COH-05671510,The Public Service Consultants Limited,4000104090.0,3,3,1,id_multiple_names_review,review_name_variation,8,0.0127047353792275,0.3923077955761723,£1B+
SUP_ID:GB-CFS-318452,Thales UK Limited,2900000000.0,1,1,1,confirmed_id,no_name_conflict,9,0.0092106934646692,0.4015184890408416,£1B+
SUP_ID:GB-COH-2073305,Alexander Mann Solutions Ltd,2490011537.0,14,14,1,id_multiple_names_review,review_name_variation,10,0.0079085286175162,0.4094270176583578,£1B+
SUP_ID:GB-COH-242246,Serco Ltd,2339673780.0,4,4,1,id_multiple_names_review,review_name_variation,11,0.0074310406878979,0.4168580583462558,£1B+
