buyer_key,award_count,allocated_award_value,mean_award_value,median_award_value,single_supplier_awards,multiple_supplier_awards,no_usable_supplier_awards,max_contract_duration_years,buyer_name,buyer_name_count,buyer_name_variants,multiple_name_flag,single_supplier_award_share_percent,multiple_supplier_award_share_percent,no_usable_supplier_share_percent,value_rank,activity_rank
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Zj5uFppq,1007,13605263.34,13510.688520357497,4180.0,1007,0,0,5.0,UK RESEARCH & INNOVATION,1,UK RESEARCH & INNOVATION,False,100.0,0.0,0.0,834,1
ID:GB-CFS-154927,906,67781109.9,74813.58708609272,42738.6,904,2,0,7.22,Suffolk County Council Passenger Transport,1,Suffolk County Council Passenger Transport,False,99.77924944812362,0.2207505518763796,0.0,307,2
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/dXGP288m,628,321560306.16,512038.7040764332,41322.47,623,5,0,9.0,UK SHARED BUSINESS SERVICES LIMITED,1,UK SHARED BUSINESS SERVICES LIMITED,False,99.20382165605096,0.7961783439490446,0.0,103,3
ID:GB-CFS-306109,495,43169008.61,87210.1184040404,87601.69,493,2,0,5.92,Buckinghamshire Council - e-Tendering System,1,Buckinghamshire Council - e-Tendering System,False,99.5959595959596,0.404040404040404,0.0,405,4
ID:GB-LAE-KIR,418,387731020.36,927586.173110048,150433.0,409,9,0,10.42,Kirklees Council,1,Kirklees Council,False,97.84688995215312,2.15311004784689,0.0,92,5
ID:GB-CFS-254227,340,11496859.18,33814.29170588235,33189.0,340,0,0,4.01,Leicester City Council,1,Leicester City Council,False,100.0,0.0,0.0,897,6
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/7U7AuvS7,337,8331354750.11,24722120.920207717,400000.0,336,1,0,10.0,MINISTRY OF DEFENCE,1,MINISTRY OF DEFENCE,False,99.70326409495549,0.2967359050445104,0.0,4,7
ID:GB-CFS-41369,336,162685826.21,484184.006577381,39249.31,334,2,0,4.0,Hampshire County Council,1,Hampshire County Council,False,99.40476190476193,0.5952380952380952,0.0,170,8
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/BxeD58qn,321,35823363.65,111599.26370716513,39446.33,321,0,0,7.0,FCDO Services,1,FCDO Services,False,100.0,0.0,0.0,469,9
ID:GB-CFS-218150,318,10559527.38,33206.06094339623,29835.0,318,0,0,4.88,Leicester City Council,1,Leicester City Council,False,100.0,0.0,0.0,941,10
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/73RFyxJw,299,142684910.07,477207.057090301,85550.22,299,0,0,6.05,NHS PROPERTY SERVICES LIMITED,1,NHS PROPERTY SERVICES LIMITED,False,100.0,0.0,0.0,179,11
ID:GB-CFS-225434,291,256749244.24,882299.8083848797,116740.64,291,0,0,5.04,Environment Agency,1,Environment Agency,False,100.0,0.0,0.0,121,12
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/R7P26Eu7,282,6085754449.67,21580689.53783688,35574.355,275,6,1,11.0,HAMPSHIRE COUNTY COUNCIL,1,HAMPSHIRE COUNTY COUNCIL,False,97.51773049645392,2.127659574468085,0.3546099290780142,8,13
ID:GB-CFS-135448,280,565902790.38,2021081.3942142855,30000.0,278,2,0,8.0,Ministry of Justice,1,Ministry of Justice,False,99.28571428571428,0.7142857142857143,0.0,70,14
ID:GB-CFS-66347,276,246485985.65,893065.1653985508,179088.0,273,3,0,9.75,Nottinghamshire County Council,1,Nottinghamshire County Council,False,98.91304347826086,1.0869565217391304,0.0,125,15
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/9yt6Qa35,267,572740856.4,2145096.840449438,201170.0,264,3,0,6.0,BANK OF ENGLAND,1,BANK OF ENGLAND,False,98.87640449438202,1.1235955056179776,0.0,69,16
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/6sQD8uds,265,140549054888.93,530373792.0336981,510000.0,236,4,25,15.0,Crown Commercial Service,1,Crown Commercial Service,False,89.05660377358491,1.509433962264151,9.433962264150944,1,17
ID:GB-CFS-186962,252,386009990.27,1531785.675674603,60492.065,234,18,0,15.0,Leeds City Council,1,Leeds City Council,False,92.85714285714286,7.142857142857142,0.0,93,18
ID:GB-CFS-217073,252,10207775.31,40507.04488095238,38844.0,252,0,0,4.04,Leicester City Council,1,Leicester City Council,False,100.0,0.0,0.0,956,18
ID:GB-CFS-58010,240,61177182.13,254904.9255416667,12231.6,230,10,0,10.0,Leicestershire County Council,1,Leicestershire County Council,False,95.83333333333334,4.166666666666666,0.0,328,20
ID:GB-LAE-DAL,225,57506152.3,255582.8991111111,59696.0,225,0,0,8.0,Darlington Borough Council,1,Darlington Borough Council,False,100.0,0.0,0.0,346,21
ID:GB-LAE-BIR,213,64254128.72,301662.5761502348,91192.4,210,3,0,5.0,BIRMINGHAM CITY COUNCIL,1,BIRMINGHAM CITY COUNCIL,False,98.59154929577466,1.4084507042253522,0.0,321,22
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/rZMs3g9n,212,56551263.21,266751.2415566037,91028.0,212,0,0,5.0,NORTHERN HOUSING CONSORTIUM LIMITED,1,NORTHERN HOUSING CONSORTIUM LIMITED,False,100.0,0.0,0.0,348,23
ID:GB-CFS-49206,211,78082959.8901,370061.4212800948,84173.81,209,2,0,10.0,Nottingham City Council,1,Nottingham City Council,False,99.0521327014218,0.9478672985781992,0.0,274,24
ID:GB-CFS-188416,187,133929438.66,716200.2067379679,88722.0,168,19,0,5.0,Hull City Council,1,Hull City Council,False,89.83957219251337,10.16042780748663,0.0,185,25
