buyer_key,award_count,allocated_award_value,mean_award_value,median_award_value,single_supplier_awards,multiple_supplier_awards,no_usable_supplier_awards,max_contract_duration_years,buyer_name,buyer_name_count,buyer_name_variants,multiple_name_flag,single_supplier_award_share_percent,multiple_supplier_award_share_percent,no_usable_supplier_share_percent,value_rank,activity_rank
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/6sQD8uds,265,140549054888.93,530373792.0336981,510000.0,236,4,25,15.0,Crown Commercial Service,1,Crown Commercial Service,False,89.05660377358491,1.509433962264151,9.433962264150944,1,17
ID:GB-CFS-310759,6,90000000000.0,18000000000.0,18000000000.0,5,1,0,2.8,The Crescent Academy,1,The Crescent Academy,False,83.33333333333334,16.666666666666664,0.0,2,1039
ID:GB-CFS-244168,1,21191000000.0,21191000000.0,21191000000.0,1,0,0,1.93,Wiltshire Council,1,Wiltshire Council,False,100.0,0.0,0.0,3,2791
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/7U7AuvS7,337,8331354750.11,24722120.920207717,400000.0,336,1,0,10.0,MINISTRY OF DEFENCE,1,MINISTRY OF DEFENCE,False,99.70326409495549,0.2967359050445104,0.0,4,7
ID:GB-CFS-317938,31,7688782080.0,248025228.3870968,157000000.0,4,27,0,4.0,Supply Chain Coordination Limited,1,Supply Chain Coordination Limited,False,12.903225806451612,87.09677419354838,0.0,5,283
ID:GB-CFS-183111,166,6810471484.46,41026936.653373495,3455912.5,165,1,0,27.54,Ministry of Justice,1,Ministry of Justice,False,99.3975903614458,0.6024096385542169,0.0,6,31
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/m6gv6TMA,67,6412633290.59,95710944.63567165,88669.0,58,9,0,7.0,N H S Shared Business Services,1,N H S Shared Business Services,False,86.56716417910447,13.432835820895525,0.0,7,117
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/R7P26Eu7,282,6085754449.67,21580689.53783688,35574.355,275,6,1,11.0,HAMPSHIRE COUNTY COUNCIL,1,HAMPSHIRE COUNTY COUNCIL,False,97.51773049645392,2.127659574468085,0.3546099290780142,8,13
ID:GB-CFS-279061,1,4600000000.0,4600000000.0,4600000000.0,0,1,0,15.0,Sellafield Limited,1,Sellafield Limited,False,0.0,100.0,0.0,9,2791
ID:GB-CFS-316791,1,4200000000.0,4200000000.0,4200000000.0,1,0,0,7.0,Supply Chain Coordination Limited,1,Supply Chain Coordination Limited,False,100.0,0.0,0.0,10,2791
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/NGYE67fS,7,4115000000.0,587857142.8571428,750000000.0,2,5,0,6.0,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,1,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,False,28.57142857142857,71.42857142857143,0.0,11,950
ID:GB-CFS-142461,3,3650000000.0,1216666666.6666667,1040000000.0,0,3,0,4.0,Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),1,Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),False,0.0,100.0,0.0,12,1590
